Rank,CMC_ID,Name,Symbol,Slug,Price_USD,MarketCap,Volume24h,CirculatingSupply,TotalSupply,MaxSupply,DateAdded,ConfidenceScore,Confidence,Reason,BinanceSymbol,BaseAsset,QuoteAsset,AvailableMarkets,FirstHourlyCandle,LastPrice,24hVolume,Trades24h,PriceChange24h,Status
44,33038,Sky,SKY,sky,0.057998397,1354651478.3444877,26566694.64747394,23356705591.335705,23462665147.365967,23462665147,2024-09-18T13:25:16.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",SKYUSDT,SKY,USDT,SKYTRY;SKYUSDC;SKYUSDT,2025-09-17T08:00:00+00:00,0.05764,1801244.173,26592,-4.979,READY
45,6636,Polkadot,DOT,polkadot-new,0.7980087342022876,1352450518.1113524,64706683.44857127,1694781598.4286196,1694781598.4286196,2100000000,2020-08-19T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",DOTUSDT,DOT,USDT,DOTBTC;DOTEUR;DOTFDUSD;DOTTRY;DOTUSDC;DOTUSDT,2020-08-18T23:00:00+00:00,0.81,4584300.113,17923,-0.857,READY
46,27075,Mantle,MNT,mantle,0.4095859012493774,1352573220.862108,68994126.29738797,3302294383,6219316794.889999,6219316795,2023-07-17T11:00:31.000Z,0,,No Binance Spot Market,,,,,,,,,,NOT_LISTED
47,13502,Worldcoin,WLD,worldcoin-org,0.3761180589572962,1338406099.8376255,148252249.03299123,3558473378.141053,10000000000,,2021-10-28T15:31:43.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",WLDUSDT,WLD,USDT,WLDBTC;WLDEUR;WLDFDUSD;WLDIDR;WLDTRY;WLDU;WLDUSDC;WLDUSDT,2023-07-24T09:00:00+00:00,0.3482,20288605.92,169012,-8.8,READY
48,8916,Internet Computer,ICP,internet-computer,2.1496043976031776,1193314248.3565862,31852513.51693517,555132027.8685414,555132027.8685414,,2021-03-23T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",ICPUSDT,ICP,USDT,ICPBTC;ICPEUR;ICPTRY;ICPUSDC;ICPUSDT,2021-05-11T01:00:00+00:00,2.14,2915748.654,14521,-0.788,READY
49,11092,Bitget Token,BGB,bitget-token-new,1.6536229280673096,1155195303.4319477,6043541.446,698584474.0203834,910920874.6481038,919992036,2021-07-29T00:00:00.000Z,0,,No Binance Spot Market,,,,,,,,,,NOT_LISTED
50,24478,Pepe,PEPE,pepe,2.711051064046526e-06,1121758303,129694004.75007571,413772473088271.1,413772473088271.1,413772473088271.1,2023-04-17T06:18:08.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",PEPEUSDT,PEPE,USDT,PEPEBRL;PEPEEUR;PEPEFDUSD;PEPEJPY;PEPETRY;PEPEU;PEPEUSD1;PEPEUSDC;PEPEUSDT,2023-05-05T18:00:00+00:00,2.72e-06,9541281.334,35019,-2.509,READY
51,39120,United Stables,U,united-stables,0.9998080153073314,1068004028.0027332,101976303.40566714,1068209108,1068209108,,2025-12-12T08:13:26.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",UUSDT,U,USDT,UIDR;UTRY;UUSDC;UUSDT,2026-01-13T08:00:00+00:00,1.0006,23034206.59,22595,0,READY
52,1321,Ethereum Classic,ETC,ethereum-classic,6.651867895929325,1048475979.9813844,38502503.16910308,157621287.19107747,210700000,210700000,2016-07-24T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",ETCUSDT,ETC,USDT,ETCBTC;ETCFDUSD;ETCTRY;ETCUSDC;ETCUSDT,2018-06-12T02:00:00+00:00,6.58,3364732.361,26319,-3.801,READY
53,34104,Morpho,MORPHO,morpho,1.9467509527798248,1005205198.7696328,15390177.45331147,516350176.8596902,999999999.8010328,1000000000,2024-11-21T10:30:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",MORPHOUSDT,MORPHO,USDT,MORPHOTRY;MORPHOUSDC;MORPHOUSDT,2025-10-03T15:00:00+00:00,1.92,1346901.616,24680,-1.891,READY
54,38837,Audiera,BEAT,audiera,3.253537228,1006210611.204507,50608475.19164173,309266666,1000000000,1000000000,2025-10-30T05:07:08.000Z,0,,No Binance Spot Market,,,,,,,,,,NOT_LISTED
55,38892,Stable,STABLE,stable,0.037950972,940208650.1927812,13307144.20370687,24774296639,1E+11,,2025-11-06T14:24:37.000Z,0,,No Binance Spot Market,,,,,,,,,,NOT_LISTED
56,35697,Pi,PI,pi,0.083139076,909688801.9483387,13849950.46757804,10941771822.223265,1E+11,1E+11,2025-02-11T07:16:10.000Z,0,,No Binance Spot Market,,,,,,,,,,NOT_LISTED
57,2087,KuCoin Token,KCS,kucoin-token,6.493318333129747,890591214.2606357,3365605.782,137155021.29577178,142155021.29577178,200000000,2017-10-24T00:00:00.000Z,0,,No Binance Spot Market,,,,,,,,,,NOT_LISTED
58,5488,JUST,JST,just,0.1023838215972422,838394806.1384718,23325786.62025085,8188743036.341737,8188743036.341737,,2020-05-07T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",JSTUSDT,JST,USDT,JSTUSDT,2020-08-11T06:00:00+00:00,0.1019,2215160.644,31105,0.901,READY
59,30171,Ethena,ENA,ethena,0.086569844,827688867.2779775,103897509.12753232,9560937500,15000000000,15000000000,2024-03-29T04:42:08.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",ENAUSDT,ENA,USDT,ENAFDUSD;ENATRY;ENAU;ENAUSDC;ENAUSDT,2024-04-02T08:00:00+00:00,0.0877,8569249.607,39841,-1.35,READY
60,28321,Polygon (prev. MATIC),POL,polygon-ecosystem-token,0.077070471,823414756.7828926,44102680.66629369,10683920132.30041,10683920142.30041,,2023-10-30T14:43:57.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",POLUSDT,POL,USDT,POLBNB;POLBRL;POLBTC;POLEUR;POLFDUSD;POLIDR;POLJPY;POLTRY;POLUSDC;POLUSDT,2024-09-13T10:00:00+00:00,0.07719,1908388.932,30610,0.731,READY
61,20396,Kaspa,KAS,kaspa,0.027869533,769084095.4,5412512.271,27595872847.72241,27595872847.72241,28704026601,2022-06-01T00:03:58.000Z,0,,No Binance Spot Market,,,,,,,,,,NOT_LISTED
62,3155,Quant,QNT,quant,62.95175131752504,760000000.2976347,4869184.051,12072738,14881364,14881364,2018-08-10T00:00:00.000Z,95,HIGH,"SYMBOL,USDT,TRADING,GOOD_VOLUME",QNTUSDT,QNT,USDT,QNTBTC;QNTUSDC;QNTUSDT,2021-07-29T06:00:00+00:00,63.72,462103.5648,9576,-0.11,READY
